product_name,ingredients_text,nova_group,health_score,allergens,additives,calories,protein_g,carbs_g,fat_g,sugar_g,sodium_mg,fiber_g,nutrition_density,food_group,source_dataset
Parmesan Cheese Grated,"parmesan cheese grated, pasteurized milk, cheese cultures, salt, enzymes",3,57.0,Milk/Dairy,,21.0,1.4,0.7,1.4,0.1,43.0,0.0,3.7,Group 1,FOOD-DATA-GROUP1.csv
Port Salut Cheese,"port salut cheese, pasteurized milk, cheese cultures, salt, enzymes, high protein",3,79.5,Milk/Dairy,,465.0,31.4,0.8,37.2,0.8,700.0,0.0,928.4,Group 1,FOOD-DATA-GROUP1.csv
Swiss Cheese,"swiss cheese, pasteurized milk, cheese cultures, salt, enzymes",3,72.0,Milk/Dairy,,98.0,6.7,0.4,7.7,0.0,57.0,0.0,237.4,Group 1,FOOD-DATA-GROUP1.csv
Goat Cheese Hard,"goat cheese hard, pasteurized milk, cheese cultures, salt, enzymes",3,74.6,Milk/Dairy,,128.0,8.6,0.6,10.1,0.6,76.0,0.0,273.2,Group 1,FOOD-DATA-GROUP1.csv
Gouda Cheese,"gouda cheese, pasteurized milk, cheese cultures, salt, enzymes",3,70.9,Milk/Dairy,,100.0,7.0,0.6,7.7,0.6,200.0,0.0,211.4,Group 1,FOOD-DATA-GROUP1.csv
Pepper Jack Cheese Lucerne,"pepper jack cheese lucerne, pasteurized milk, cheese cultures, salt, enzymes",3,68.2,Milk/Dairy,,75.0,5.0,0.0,6.0,0.0,0.0,2.5,13.5,Group 1,FOOD-DATA-GROUP1.csv
Caraway Cheese,"caraway cheese, pasteurized milk, cheese cultures, salt, enzymes",3,70.7,Milk/Dairy,,106.0,7.1,0.9,8.3,0.0,200.0,0.0,207.1,Group 1,FOOD-DATA-GROUP1.csv
Gjetost Cheese,"gjetost cheese, pasteurized milk, cheese cultures, salt, enzymes, high protein",3,54.6,Milk/Dairy,,1058.0,21.9,96.8,67.0,0.0,1400.0,0.0,1095.7,Group 1,FOOD-DATA-GROUP1.csv
Tilsit Cheese,"tilsit cheese, pasteurized milk, cheese cultures, salt, enzymes",3,75.9,Milk/Dairy,,136.0,9.8,0.8,10.4,0.0,300.0,0.0,301.1,Group 1,FOOD-DATA-GROUP1.csv
Goat Cheese,"goat cheese, pasteurized milk, cheese cultures, salt, enzymes",3,64.9,Milk/Dairy,,103.0,6.1,0.0,8.4,0.0,100.0,0.0,99.5,Group 1,FOOD-DATA-GROUP1.csv
Brick Cheese,"brick cheese, pasteurized milk, cheese cultures, salt, enzymes",3,71.3,Milk/Dairy,,111.0,7.0,0.8,8.9,0.2,200.0,0.0,219.0,Group 1,FOOD-DATA-GROUP1.csv
Asadero Cheese,"asadero cheese, pasteurized milk, cheese cultures, salt, enzymes, high protein",3,77.7,Milk/Dairy,,402.0,25.5,3.2,31.9,3.2,700.0,0.0,808.2,Group 1,FOOD-DATA-GROUP1.csv
Camembert Cheese,"camembert cheese, pasteurized milk, cheese cultures, salt, enzymes",3,66.4,Milk/Dairy,,90.0,5.9,0.1,7.3,0.1,300.0,0.0,129.8,Group 1,FOOD-DATA-GROUP1.csv
Provolone Cheese Reduced Fat,"provolone cheese reduced fat, pasteurized milk, cheese cultures, salt, enzymes, high protein",3,74.2,Milk/Dairy,,310.0,27.9,4.0,19.9,0.6,1000.0,0.0,906.9,Group 1,FOOD-DATA-GROUP1.csv
Roquefort Cheese,"roquefort cheese, pasteurized milk, cheese cultures, salt, enzymes, high protein",3,62.8,Milk/Dairy,,314.0,18.3,1.7,26.0,0.0,1500.0,0.0,609.4,Group 1,FOOD-DATA-GROUP1.csv
Queso Blanco Cheese,"queso blanco cheese, pasteurized milk, cheese cultures, salt, enzymes, high protein",3,75.6,Milk/Dairy,,366.0,24.0,3.0,28.7,2.1,800.0,0.0,870.3,Group 1,FOOD-DATA-GROUP1.csv
Queso Seco Cheese,"queso seco cheese, pasteurized milk, cheese cultures, salt, enzymes, high protein",3,61.5,Milk/Dairy,,315.0,23.8,2.0,23.6,0.5,1800.0,0.0,691.0,Group 1,FOOD-DATA-GROUP1.csv
Goat Cheese Soft,"goat cheese soft, pasteurized milk, cheese cultures, salt, enzymes",3,62.1,Milk/Dairy,,75.0,5.2,0.0,6.0,0.3,100.0,0.0,51.3,Group 1,FOOD-DATA-GROUP1.csv
Mozzarella Cheese,"mozzarella cheese, pasteurized milk, cheese cultures, salt, enzymes",3,68.5,Milk/Dairy,,90.0,6.7,0.7,6.6,0.0,100.0,0.0,165.6,Group 1,FOOD-DATA-GROUP1.csv
Chihuahua Cheese,"chihuahua cheese, pasteurized milk, cheese cultures, salt, enzymes, high protein",3,77.4,Milk/Dairy,,494.0,28.5,7.3,39.2,7.3,800.0,0.0,935.0,Group 1,FOOD-DATA-GROUP1.csv
Limburger Cheese,"limburger cheese, pasteurized milk, cheese cultures, salt, enzymes",3,68.1,Milk/Dairy,,98.0,6.0,0.1,8.2,0.1,200.0,0.0,163.6,Group 1,FOOD-DATA-GROUP1.csv
Muenster Cheese,"muenster cheese, pasteurized milk, cheese cultures, salt, enzymes, high protein",3,78.0,Milk/Dairy,,486.0,30.9,1.5,39.7,1.5,800.0,0.0,1019.4,Group 1,FOOD-DATA-GROUP1.csv
Queso Fresco Cheese,"queso fresco cheese, pasteurized milk, cheese cultures, salt, enzymes, high protein",3,73.3,Milk/Dairy,,365.0,22.1,3.6,29.1,2.8,900.0,0.0,745.8,Group 1,FOOD-DATA-GROUP1.csv
Brie Cheese,"brie cheese, pasteurized milk, cheese cultures, salt, enzymes",3,63.5,Milk/Dairy,,100.0,6.2,0.1,8.3,0.1,200.0,0.0,70.1,Group 1,FOOD-DATA-GROUP1.csv
Pimento Cheese,"pimento cheese, pasteurized milk, cheese cultures, salt, enzymes, high protein",3,63.8,Milk/Dairy,,525.0,31.0,2.4,43.7,0.9,2000.0,0.1,940.9,Group 1,FOOD-DATA-GROUP1.csv
Mexican Cheese,"mexican cheese, pasteurized milk, cheese cultures, salt, enzymes, high protein",3,75.6,Milk/Dairy,,316.0,27.7,3.8,21.7,0.6,900.0,0.0,1337.0,Group 1,FOOD-DATA-GROUP1.csv
Feta Cheese,"feta cheese, pasteurized milk, cheese cultures, salt, enzymes",3,67.5,Milk/Dairy,,80.0,4.3,1.2,6.4,0.0,300.0,0.0,160.1,Group 1,FOOD-DATA-GROUP1.csv
Mozzarella Cheese Fat Free,"mozzarella cheese fat free, pasteurized milk, cheese cultures, salt, enzymes, high protein",3,83.0,Milk/Dairy,,159.0,35.8,4.0,0.0,1.7,800.0,2.0,1128.2,Group 1,FOOD-DATA-GROUP1.csv
Provolone Cheese,"provolone cheese, pasteurized milk, cheese cultures, salt, enzymes, high protein",3,72.0,Milk/Dairy,,463.0,33.8,2.8,35.1,0.7,1200.0,0.0,1070.6,Group 1,FOOD-DATA-GROUP1.csv
Anejo Cheese,"anejo cheese, pasteurized milk, cheese cultures, salt, enzymes, high protein",3,66.8,Milk/Dairy,,492.0,28.3,6.1,39.6,6.1,1500.0,0.0,972.2,Group 1,FOOD-DATA-GROUP1.csv
Honey,honey,1,73.6,,,64.0,0.1,17.3,0.0,17.2,11.0,0.0,18.9,Group 1,FOOD-DATA-GROUP1.csv
Apple Butter,"apple butter, pasteurized cream, natural milk fat",2,70.8,Milk/Dairy,,35.0,0.0,8.5,0.1,7.1,3.0,0.3,11.8,Group 1,FOOD-DATA-GROUP1.csv
Fruit Jam,"fruit jam, fresh raw fruit, natural fruit sugars, plant dietary fiber, vitamin c",1,80.5,,,56.0,0.0,13.8,0.1,9.7,52.0,0.2,19.9,Group 1,FOOD-DATA-GROUP1.csv
Chocolate Hazelnut Spread,chocolate hazelnut spread,4,47.5,Tree Nuts,,100.0,1.0,11.5,5.5,10.0,99.0,1.0,39.8,Group 1,FOOD-DATA-GROUP1.csv
Peanut Butter,"peanut butter, pasteurized cream, natural milk fat",2,72.2,"Milk/Dairy, Peanuts",,88.0,3.3,3.6,7.4,1.0,85.0,0.9,15.3,Group 1,FOOD-DATA-GROUP1.csv
Peanut Spread,peanut spread,1,83.0,Peanuts,,101.0,3.8,2.2,8.5,0.5,28.0,1.2,27.3,Group 1,FOOD-DATA-GROUP1.csv
Chicken Spread,"chicken spread, fresh poultry meat, protein amino acids",1,82.5,,,88.0,10.1,2.3,9.8,0.3,400.0,0.2,32.0,Group 1,FOOD-DATA-GROUP1.csv
Cheese Spread,"cheese spread, pasteurized milk, cheese cultures, salt, enzymes, high protein",3,61.5,Milk/Dairy,,708.0,17.0,8.4,68.6,8.4,1200.0,0.0,267.8,Group 1,FOOD-DATA-GROUP1.csv
Tahini,tahini,1,84.9,Sesame,,86.0,2.7,3.9,7.2,0.0,98.0,1.4,78.6,Group 1,FOOD-DATA-GROUP1.csv
Orange Marmalade,"orange marmalade, fresh raw fruit, natural fruit sugars, plant dietary fiber, vitamin c",1,78.5,,,49.0,0.0,13.3,0.0,12.0,16.0,0.1,22.1,Group 1,FOOD-DATA-GROUP1.csv
American Cheese Spread,"american cheese spread, pasteurized milk, cheese cultures, salt, enzymes",3,64.4,Milk/Dairy,,46.0,2.6,1.4,3.4,1.2,300.0,0.0,97.4,Group 1,FOOD-DATA-GROUP1.csv
Apricot Jam,apricot jam,1,80.1,,,48.0,0.1,12.9,0.0,8.7,4.0,0.0,18.9,Group 1,FOOD-DATA-GROUP1.csv
Chunky Peanut Butter,"chunky peanut butter, pasteurized cream, natural milk fat",2,73.2,"Milk/Dairy, Peanuts",,94.0,3.8,3.5,8.0,1.3,30.0,1.3,24.1,Group 1,FOOD-DATA-GROUP1.csv
Ham And Cheese Spread,"ham and cheese spread, pasteurized milk, cheese cultures, salt, enzymes",3,62.0,Milk/Dairy,,37.0,2.4,0.3,2.8,0.0,200.0,0.0,38.2,Group 1,FOOD-DATA-GROUP1.csv
Chicken And Rice Casserole Homade,"chicken and rice casserole homade, fresh poultry meat, protein amino acids",1,75.8,,,27.0,2.0,2.4,1.0,0.0,0.0,0.3,5.7,Group 1,FOOD-DATA-GROUP1.csv
Picnic Loaf,picnic loaf,1,80.0,,,65.0,4.2,1.3,4.7,0.0,300.0,0.0,23.7,Group 1,FOOD-DATA-GROUP1.csv
Corn Tamale,"corn tamale, dietary fiber",1,92.9,,,309.0,5.8,44.3,12.0,12.3,500.0,5.3,108.1,Group 1,FOOD-DATA-GROUP1.csv
Baked Potato With Cheese Sauce Bacon,"baked potato with cheese sauce bacon, pasteurized milk, cheese cultures, salt, enzymes, high protein",3,70.4,Milk/Dairy,,451.0,18.4,44.4,25.9,0.0,1000.0,0.0,428.7,Group 1,FOOD-DATA-GROUP1.csv
Chinese Egg Roll,"chinese egg roll, grain flour, water, yeast, salt",3,70.3,Eggs,,223.0,7.4,24.3,10.6,0.0,400.0,2.3,81.5,Group 1,FOOD-DATA-GROUP1.csv
Butter Croissant,"butter croissant, pasteurized cream, natural milk fat",2,74.6,Milk/Dairy,,231.0,4.7,26.1,12.0,6.4,200.0,1.5,66.8,Group 1,FOOD-DATA-GROUP1.csv
Enchilada With Cheese Beef,"enchilada with cheese beef, pasteurized milk, cheese cultures, salt, enzymes",3,63.3,Milk/Dairy,,323.0,11.9,30.5,17.6,0.0,1300.0,0.0,292.9,Group 1,FOOD-DATA-GROUP1.csv
Corned Beef Hash With Potatoes,"corned beef hash with potatoes, fresh meat, essential amino acids, heme iron, high protein",1,87.2,,,387.0,20.6,21.9,24.2,0.8,1000.0,2.6,118.6,Group 1,FOOD-DATA-GROUP1.csv
Biscuit With Egg Cheese Bacon,"biscuit with egg cheese bacon, pasteurized milk, cheese cultures, salt, enzymes, high protein",3,64.7,"Milk/Dairy, Eggs",,436.0,17.4,35.4,25.3,2.5,1200.0,0.3,230.2,Group 1,FOOD-DATA-GROUP1.csv
Bagel With Ham Egg Cheese,"bagel with ham egg cheese, pasteurized milk, cheese cultures, salt, enzymes, high protein",3,70.1,"Milk/Dairy, Eggs",,483.0,26.7,52.4,18.5,7.0,1300.0,0.4,287.6,Group 1,FOOD-DATA-GROUP1.csv
Quesadilla With Chicken,"quesadilla with chicken, fresh poultry meat, protein amino acids, dietary fiber, high protein",1,95.1,,,529.0,27.1,43.3,27.5,3.4,1300.0,3.1,588.7,Group 1,FOOD-DATA-GROUP1.csv
Corn Rice,corn rice,1,81.1,,,110.0,1.8,25.2,0.3,3.0,200.0,0.4,51.9,Group 1,FOOD-DATA-GROUP1.csv
Kung Pao Chicken,"kung pao chicken, fresh poultry meat, protein amino acids, dietary fiber, high protein",4,49.0,,,779.0,59.0,41.5,42.2,18.3,2400.0,9.1,320.1,Group 1,FOOD-DATA-GROUP1.csv
Beef Empanada,"beef empanada, fresh meat, essential amino acids, heme iron",1,87.9,,,298.0,10.1,27.8,16.3,1.6,400.0,1.8,76.2,Group 1,FOOD-DATA-GROUP1.csv
Frijoles With Cheese,"frijoles with cheese, pasteurized milk, cheese cultures, salt, enzymes",3,66.6,Milk/Dairy,,225.0,11.4,28.7,7.8,0.0,900.0,0.0,240.3,Group 1,FOOD-DATA-GROUP1.csv
Burrito With Beef,"burrito with beef, fresh meat, essential amino acids, heme iron, dietary fiber",1,91.9,,,285.0,9.1,43.9,8.1,4.1,500.0,4.4,65.9,Group 1,FOOD-DATA-GROUP1.csv
Crispy Chicken Sandwich,"crispy chicken sandwich, fresh poultry meat, protein amino acids",1,82.6,,,350.0,14.8,33.2,17.6,3.9,700.0,0.0,114.1,Group 1,FOOD-DATA-GROUP1.csv
Enchilada With Cheese,"enchilada with cheese, pasteurized milk, cheese cultures, salt, enzymes, high protein",3,68.9,Milk/Dairy,,374.0,15.4,21.2,25.3,3.6,700.0,2.6,65.6,Group 1,FOOD-DATA-GROUP1.csv
Pork Egg Roll,"pork egg roll, grain flour, water, yeast, salt",3,70.2,Eggs,,189.0,8.4,25.1,6.1,4.5,300.0,1.8,96.5,Group 1,FOOD-DATA-GROUP1.csv
Corn On The Cob With Butter,"corn on the cob with butter, pasteurized cream, natural milk fat",2,70.1,Milk/Dairy,,155.0,4.5,31.9,3.4,0.0,56.0,0.0,52.1,Group 1,FOOD-DATA-GROUP1.csv
Pancakes With Butter Syrup,"pancakes with butter syrup, pasteurized cream, natural milk fat",2,70.7,Milk/Dairy,,260.0,4.1,45.4,7.0,0.0,600.0,0.0,123.3,Group 1,FOOD-DATA-GROUP1.csv
Burrito With Beans,burrito with beans,1,82.3,,,224.0,7.0,35.7,6.7,0.0,500.0,0.0,109.1,Group 1,FOOD-DATA-GROUP1.csv
Scrambled Eggs,scrambled eggs,1,80.6,,,100.0,6.5,1.0,7.6,0.8,100.0,0.0,44.7,Group 1,FOOD-DATA-GROUP1.csv
Baked Potato With Sour Cream,baked potato with sour cream,1,89.3,Milk/Dairy,,393.0,6.7,50.0,22.3,0.0,200.0,0.0,221.8,Group 1,FOOD-DATA-GROUP1.csv
Turkey And Gravy,"turkey and gravy, fresh poultry meat, protein amino acids",1,71.0,,,161.0,14.1,11.1,6.3,0.0,1300.0,0.0,67.4,Group 1,FOOD-DATA-GROUP1.csv
Chicken Egg Roll,"chicken egg roll, grain flour, water, yeast, salt",3,69.8,Eggs,,158.0,8.4,22.8,3.6,4.5,400.0,1.9,84.8,Group 1,FOOD-DATA-GROUP1.csv
Vegetable Egg Roll,"vegetable egg roll, grain flour, water, yeast, salt",3,69.3,Eggs,,153.0,5.2,25.0,3.6,5.3,400.0,2.2,84.1,Group 1,FOOD-DATA-GROUP1.csv
Ham Cheese Roll,"ham cheese roll, pasteurized milk, cheese cultures, salt, enzymes",3,62.0,Milk/Dairy,,67.0,3.8,1.1,5.2,0.0,300.0,0.0,26.6,Group 1,FOOD-DATA-GROUP1.csv
Biscuit With Ham,biscuit with ham,3,66.3,,,386.0,13.4,43.8,18.4,2.2,1100.0,0.8,239.7,Group 1,FOOD-DATA-GROUP1.csv
Lemon Chicken,"lemon chicken, fresh poultry meat, protein amino acids, dietary fiber, high protein",4,22.5,,,1440.0,68.6,122.0,74.9,55.2,1500.0,7.0,545.2,Group 1,FOOD-DATA-GROUP1.csv
Hummus,"hummus, dietary fiber",1,98.0,,,435.0,12.0,49.5,21.1,0.7,600.0,9.8,236.1,Group 1,FOOD-DATA-GROUP1.csv
Croissant With Egg Cheese,"croissant with egg cheese, pasteurized milk, cheese cultures, salt, enzymes",3,74.1,"Milk/Dairy, Eggs",,368.0,12.8,24.3,24.7,0.0,600.0,0.0,307.9,Group 1,FOOD-DATA-GROUP1.csv
Enchirito With Cheese Beef Beans,"enchirito with cheese beef beans, pasteurized milk, cheese cultures, salt, enzymes, high protein",3,65.7,Milk/Dairy,,344.0,17.9,33.8,16.1,0.0,1300.0,0.0,293.0,Group 1,FOOD-DATA-GROUP1.csv
Sweet Sour Pork,"sweet sour pork, fresh meat, essential amino acids, heme iron",1,80.2,,,38.0,1.2,3.3,2.2,1.4,3.0,0.1,14.0,Group 1,FOOD-DATA-GROUP1.csv
Crab Cake,crab cake,1,90.5,"Gluten/Wheat, Shellfish",,160.0,11.3,5.1,10.4,0.0,500.0,0.2,230.6,Group 1,FOOD-DATA-GROUP1.csv
Egg Dinner Roll,"egg dinner roll, grain flour, water, yeast, salt",3,65.2,Eggs,,107.0,3.3,18.2,2.2,1.5,200.0,1.3,46.9,Group 1,FOOD-DATA-GROUP1.csv
English Muffin With Egg Cheese Sausage,"english muffin with egg cheese sausage, pasteurized milk, cheese cultures, salt, enzymes, high protein",3,75.6,"Milk/Dairy, Eggs",,472.0,22.1,28.8,29.9,2.5,800.0,0.3,362.7,Group 1,FOOD-DATA-GROUP1.csv
Buttermilk Pancakes,"buttermilk pancakes, pasteurized cream, natural milk fat",2,71.4,,,86.0,2.6,10.9,3.5,0.0,200.0,0.0,77.6,Group 1,FOOD-DATA-GROUP1.csv
Omelet,omelet,1,80.6,,,94.0,6.4,0.4,7.1,0.2,13.0,0.0,14.4,Group 1,FOOD-DATA-GROUP1.csv
Taco With Chicken Cheese Lettuce,"taco with chicken cheese lettuce, pasteurized milk, cheese cultures, salt, enzymes",3,70.8,Milk/Dairy,,185.0,13.0,19.3,6.2,1.3,600.0,1.2,161.2,Group 1,FOOD-DATA-GROUP1.csv
Spinach Souffle,"spinach souffle, fresh raw vegetable, dietary fiber, folate, antioxidants",1,90.0,,,230.0,10.7,8.0,17.6,2.5,800.0,1.0,273.4,Group 1,FOOD-DATA-GROUP1.csv
English Muffin With Cheese Sausage,"english muffin with cheese sausage, pasteurized milk, cheese cultures, salt, enzymes",3,74.5,Milk/Dairy,,365.0,14.3,27.3,22.3,2.1,700.0,0.5,294.7,Group 1,FOOD-DATA-GROUP1.csv
Potato Gratin,"potato gratin, dietary fiber",1,95.5,,,328.0,12.4,27.6,18.6,0.0,1100.0,4.4,380.7,Group 1,FOOD-DATA-GROUP1.csv
Biscuit With Egg,"biscuit with egg, high protein",1,82.7,Eggs,,436.0,17.4,35.4,25.3,2.5,1200.0,0.3,230.3,Group 1,FOOD-DATA-GROUP1.csv
French Fries Deep Fried,french fries deep fried,4,51.8,,,222.0,2.4,29.4,10.5,0.2,100.0,2.7,45.4,Group 1,FOOD-DATA-GROUP1.csv
Sweet Sour Chicken,"sweet sour chicken, fresh poultry meat, protein amino acids",1,80.5,,,46.0,1.8,4.4,2.3,2.1,43.0,0.2,17.8,Group 1,FOOD-DATA-GROUP1.csv
Burrito With Beans Beef,"burrito with beans beef, fresh meat, essential amino acids, heme iron, dietary fiber, high protein",1,98.0,,,460.0,27.8,47.0,18.0,5.3,1400.0,7.2,326.2,Group 1,FOOD-DATA-GROUP1.csv
Nachos With Cinnamon Sugar,nachos with cinnamon sugar,2,78.5,,,592.0,7.2,63.4,36.0,0.0,400.0,0.0,202.5,Group 1,FOOD-DATA-GROUP1.csv
Arroz Con Grandules,arroz con grandules,1,79.8,,,209.0,4.0,35.4,5.7,0.0,700.0,1.6,56.2,Group 1,FOOD-DATA-GROUP1.csv
Chili Con Carne,"chili con carne, dietary fiber",1,89.2,,,271.0,14.7,33.1,8.8,4.7,1100.0,8.3,66.2,Group 1,FOOD-DATA-GROUP1.csv
Arroz Con Abichuelas,"arroz con abichuelas, dietary fiber",1,89.2,,,223.0,6.2,37.3,5.4,0.2,600.0,4.1,78.5,Group 1,FOOD-DATA-GROUP1.csv
Biscuit With Sausage,biscuit with sausage,3,61.6,,,412.0,10.7,33.3,27.1,1.8,900.0,0.4,125.8,Group 1,FOOD-DATA-GROUP1.csv
Vegetarian Stew,"vegetarian stew, high protein",1,92.7,,,304.0,42.0,17.3,7.4,3.1,1000.0,2.7,149.2,Group 1,FOOD-DATA-GROUP1.csv
Chicken Sandwich With Cheese,"chicken sandwich with cheese, pasteurized milk, cheese cultures, salt, enzymes, high protein",3,69.1,Milk/Dairy,,632.0,29.4,41.6,38.8,0.0,1200.0,0.0,374.2,Group 1,FOOD-DATA-GROUP1.csv
Biscuit With Egg Steak,"biscuit with egg steak, high protein",1,85.7,Eggs,,410.0,17.9,21.3,28.4,0.0,900.0,0.0,210.8,Group 1,FOOD-DATA-GROUP1.csv
Taco Salad,"taco salad, fresh raw vegetable, dietary fiber, folate, antioxidants",1,86.0,,,212.0,10.0,17.9,11.2,0.0,600.0,0.0,189.0,Group 1,FOOD-DATA-GROUP1.csv
Succotash,succotash,1,83.3,,,213.0,9.7,46.8,1.5,0.0,500.0,0.0,109.2,Group 1,FOOD-DATA-GROUP1.csv
Nachos With Cheese Jalapeno Peppers,"nachos with cheese jalapeno peppers, pasteurized milk, cheese cultures, salt, enzymes, high protein",3,57.1,Milk/Dairy,,608.0,16.8,60.1,34.1,0.0,1700.0,0.0,735.0,Group 1,FOOD-DATA-GROUP1.csv
Biscuit With Egg Ham,"biscuit with egg ham, high protein",3,67.2,Eggs,,442.0,20.4,31.4,27.0,4.2,1400.0,0.8,305.1,Group 1,FOOD-DATA-GROUP1.csv
Ladyfingers,ladyfingers,1,80.8,,,103.0,3.0,16.9,2.6,7.2,16.0,0.3,38.1,Group 1,FOOD-DATA-GROUP1.csv
Mozzarella Steak Fried,mozzarella steak fried,1,85.3,Milk/Dairy,,102.0,4.6,7.7,5.9,0.7,200.0,0.6,127.0,Group 1,FOOD-DATA-GROUP1.csv
Tamale Navajo,"tamale navajo, dietary fiber",1,94.8,,,285.0,11.7,33.7,11.4,1.8,800.0,5.8,122.0,Group 1,FOOD-DATA-GROUP1.csv
Blueberry Pancakes,"blueberry pancakes, fresh raw fruit, natural fruit sugars, plant dietary fiber, vitamin c",1,82.3,,,84.0,2.3,11.0,3.5,0.0,200.0,0.0,96.6,Group 1,FOOD-DATA-GROUP1.csv
Chimichanga With Beef Cheese,"chimichanga with beef cheese, pasteurized milk, cheese cultures, salt, enzymes, high protein",3,71.0,Milk/Dairy,,443.0,20.1,39.3,23.4,0.0,1000.0,0.0,327.3,Group 1,FOOD-DATA-GROUP1.csv
Egg Cheese Sandwich,"egg cheese sandwich, pasteurized milk, cheese cultures, salt, enzymes, high protein",3,72.2,"Milk/Dairy, Eggs",,340.0,15.6,25.9,19.4,0.0,800.0,0.0,290.4,Group 1,FOOD-DATA-GROUP1.csv
Biscuit With Egg Bacon,"biscuit with egg bacon, high protein",3,66.4,Eggs,,458.0,17.0,28.6,31.1,3.3,1300.0,0.8,273.0,Group 1,FOOD-DATA-GROUP1.csv
Pupusas Con Queso,"pupusas con queso, dietary fiber",1,98.0,,,300.0,13.7,26.2,15.5,1.4,500.0,3.4,439.9,Group 1,FOOD-DATA-GROUP1.csv
Apple Croissant,"apple croissant, fresh raw fruit, natural fruit sugars, plant dietary fiber, vitamin c",1,83.5,,,145.0,4.2,21.1,5.0,0.0,200.0,1.4,49.7,Group 1,FOOD-DATA-GROUP1.csv
Refried Red Beans,"refried red beans, dietary fiber",1,95.5,,,336.0,11.7,36.0,16.1,0.0,900.0,11.0,156.2,Group 1,FOOD-DATA-GROUP1.csv
Tostada With Guacamole,tostada with guacamole,1,90.4,,,180.0,6.2,16.0,11.6,0.0,400.0,0.0,247.9,Group 1,FOOD-DATA-GROUP1.csv
Chicken Sandwich,"chicken sandwich, fresh poultry meat, protein amino acids, high protein",1,83.7,,,468.0,30.4,39.1,20.9,6.8,1400.0,2.6,94.1,Group 1,FOOD-DATA-GROUP1.csv
Fried Rice,fried rice,1,82.6,,,228.0,6.5,43.4,3.2,0.6,600.0,1.5,75.2,Group 1,FOOD-DATA-GROUP1.csv
Pupusas Del Cerdo,"pupusas del cerdo, dietary fiber",1,93.6,,,283.0,14.0,28.1,12.7,1.8,500.0,3.2,119.1,Group 1,FOOD-DATA-GROUP1.csv
Turkey Pot Pie,"turkey pot pie, fresh poultry meat, protein amino acids, dietary fiber, high protein",1,88.8,Gluten/Wheat,,699.0,25.8,70.3,34.9,0.0,1400.0,4.4,139.4,Group 1,FOOD-DATA-GROUP1.csv
Cheese Croissant,"cheese croissant, pasteurized milk, cheese cultures, salt, enzymes",3,71.1,Milk/Dairy,,331.0,7.4,37.6,16.7,9.1,300.0,2.1,108.3,Group 1,FOOD-DATA-GROUP1.csv
Chimichanga With Beef,"chimichanga with beef, fresh meat, essential amino acids, heme iron, high protein",1,83.5,,,425.0,19.6,42.8,19.7,0.0,900.0,0.0,153.9,Group 1,FOOD-DATA-GROUP1.csv
